entity_type,product_key,sku_key,category_key,category_name,product_name,slug,description,brand,ncm,cest,origem_mercadoria,code,variant_key,price_cents,compare_at_price_cents,stock_quantity,weight_g,width_mm,height_mm,length_mm,active,country,region,grape,vintage,alcohol,volume,color
sku,wine-ar-011,wine-ar-011-750ml,vinhos-tintos,Vinhos Tintos,Alma Negra Misterio,alma-negra-misterio,Corte secreto emblemático criado por Ernesto Catena que combina exuberância frutada e textura sedosa irresistível.,Ernesto Catena Vineyards,22042100,0301200,1,WINE-011-750,750ml,23900,27500,54,1350,80,315,80,true,Argentina,Mendoza,"Bonarda, Malbec",2020,13.5%,750ml,Tinto
sku,wine-ar-012,wine-ar-012-750ml,vinhos-tintos,Vinhos Tintos,El Enemigo Cabernet Franc,el-enemigo-cabernet-franc,"Criação magistral de Alejandro Vigil em Gualtallary, fermentado em foudres centenários com grande mineralidade e frescor.",Bodega Aleanna,22042100,0301200,1,WINE-012-750,750ml,29900,34000,48,1370,80,315,80,true,Argentina,Gualtallary,Cabernet Franc,2020,14.0%,750ml,Tinto
sku,wine-ar-013,wine-ar-013-750ml,vinhos-tintos,Vinhos Tintos,Luigi Bosca De Sangre Malbec,luigi-bosca-de-sangre-malbec,Expressão profunda da uva Malbec cultivada em solos calcários de altitude no Valle de Uco pela secular família Arizu.,Luigi Bosca,22042100,0301200,1,WINE-013-750,750ml,31000,35500,36,1380,80,315,80,true,Argentina,Valle de Uco,Malbec,2020,14.5%,750ml,Tinto
sku,wine-ar-014,wine-ar-014-750ml,vinhos-tintos,Vinhos Tintos,Terrazas de los Andes Reserva Malbec,terrazas-de-los-andes-reserva-malbec,Vinho frutado e envolvente de vinhedos plantados em terraços nas encostas da Cordilheira dos Andes.,Terrazas de los Andes,22042100,0301200,1,WINE-014-750,750ml,13900,16500,72,1350,80,315,80,true,Argentina,Mendoza,Malbec,2022,14.0%,750ml,Tinto
sku,wine-ar-015,wine-ar-015-750ml,vinhos-tintos,Vinhos Tintos,Salentein Primus Malbec,salentein-primus-malbec,"O topo de gama da Salentein, produzido a partir de parcelas selecionadas a mais de 1.150 metros de altitude com 18 meses em carvalho.",Bodegas Salentein,22042100,0301200,1,WINE-015-750,750ml,56000,62000,24,1420,82,320,82,true,Argentina,Valle de Uco,Malbec,2019,15.0%,750ml,Tinto
sku,wine-cl-016,wine-cl-016-750ml,vinhos-tintos,Vinhos Tintos,Don Melchor Cabernet Sauvignon,don-melchor-cabernet-sauvignon,"O primeiro vinho ícone chileno, elaborado no célebre terroir aluvial de Puente Alto sob a consultoria de Jacques Boissenot.",Viña Concha y Toro,22042100,0301200,1,WINE-016-750,750ml,119000,135000,24,1450,82,320,82,true,Chile,Puente Alto,Cabernet Sauvignon,2020,14.5%,750ml,Tinto
sku,wine-cl-017,wine-cl-017-750ml,vinhos-tintos,Vinhos Tintos,Montes Alpha Cabernet Sauvignon,montes-alpha-cabernet-sauvignon,O vinho que iniciou a era dos vinhos finos chilenos de exportação pelas mãos do visionário Aurelio Montes.,Viña Montes,22042100,0301200,1,WINE-017-750,750ml,18900,22000,80,1360,80,315,80,true,Chile,Valle de Colchagua,Cabernet Sauvignon,2021,14.5%,750ml,Tinto
sku,wine-cl-018,wine-cl-018-750ml,vinhos-tintos,Vinhos Tintos,Almaviva,almaviva,Parceria lendária entre a Baronesa Philippine de Rothschild (Château Mouton Rothschild) e a Concha y Toro.,Viña Almaviva,22042100,0301200,1,WINE-018-750,750ml,185000,210000,16,1500,85,325,85,true,Chile,Puente Alto,"Cabernet Sauvignon, Carmenère, Cabernet Franc",2019,15.0%,750ml,Tinto
sku,wine-cl-019,wine-cl-019-750ml,vinhos-tintos,Vinhos Tintos,Seña,sena,"Fruto da aliança entre Eduardo Chadwick e Robert Mondavi, cultivado sob rigorosos preceitos biodinâmicos no Aconcagua.",Viña Seña,22042100,0301200,1,WINE-019-750,750ml,169000,195000,18,1480,84,320,84,true,Chile,Valle de Aconcagua,"Cabernet Sauvignon, Malbec, Carmenère",2020,14.0%,750ml,Tinto
sku,wine-cl-020,wine-cl-020-750ml,vinhos-tintos,Vinhos Tintos,Clos Apalta,clos-apalta,"Colecionador de pontuações perfeitas (100 pontos), vinificado por gravidade com leveduras nativas e vinhas pré-filoxéricas.",Clos Apalta,22042100,0301200,1,WINE-020-750,750ml,149000,170000,20,1480,84,320,84,true,Chile,Valle de Apalta,"Carmenère, Cabernet Sauvignon, Merlot",2018,15.0%,750ml,Tinto
sku,wine-cl-021,wine-cl-021-750ml,vinhos-tintos,Vinhos Tintos,Vik Milla Cala,vik-milla-cala,Mistura holística que homenageia a união entre a natureza do vale de Millahue e a paixão enológica dos proprietários Alex e Carrie Vik.,Viña VIK,22042100,0301200,1,WINE-021-750,750ml,42000,48000,36,1400,82,318,82,true,Chile,Valle de Cachapoal,"Cabernet Sauvignon, Carmenère, Syrah",2019,14.0%,750ml,Tinto
sku,wine-cl-022,wine-cl-022-750ml,vinhos-tintos,Vinhos Tintos,Marques de Casa Concha Cabernet Sauvignon,marques-de-casa-concha-cabernet-sauvignon,"Referência inquestionável de qualidade do Valle del Maipo, com concentração clássica de cassis e cedro.",Concha y Toro,22042100,0301200,1,WINE-022-750,750ml,14900,17900,90,1350,80,315,80,true,Chile,Valle del Maipo,Cabernet Sauvignon,2021,14.0%,750ml,Tinto
sku,wine-cl-023,wine-cl-023-750ml,vinhos-tintos,Vinhos Tintos,Errázuriz Don Maximiano Founder's Reserve,errazuriz-don-maximiano-founders-reserve,"Vinho de homenagem ao fundador Don Maximiano Errázuriz, símbolo da nobreza e pureza do terroir do Vale de Aconcágua.",Viña Errázuriz,22042100,0301200,1,WINE-023-750,750ml,89000,105000,24,1440,82,320,82,true,Chile,Valle de Aconcagua,Cabernet Sauvignon,2018,14.0%,750ml,Tinto
sku,wine-fr-024,wine-fr-024-750ml,vinhos-tintos,Vinhos Tintos,Château Margaux Premier Grand Cru Classé,chateau-margaux-premier-grand-cru-classe,"Um dos cinco lendários Premiers Grands Crus Classés de Bordeaux de 1855, famoso pela finura aromática floral e longevidade transcendental.",Château Margaux,22042100,0301200,1,WINE-024-750,750ml,790000,880000,6,1450,82,320,82,true,França,Bordeaux - Margaux,"Cabernet Sauvignon, Merlot",2017,13.5%,750ml,Tinto
sku,wine-fr-025,wine-fr-025-750ml,espumantes-champagnes,Espumantes & Champagnes,Dom Pérignon Vintage Champagne,dom-perignon-vintage-champagne,"O ápice do champagne vintage, produzido unicamente em anos de safra perfeita com maturação prolongada em adegas históricas.",Dom Pérignon,22042100,0301200,1,WINE-025-750,750ml,249000,280000,18,1600,90,325,90,true,França,Champagne,"Chardonnay, Pinot Noir",2013,12.5%,750ml,Espumante
sku,wine-fr-026,wine-fr-026-750ml,espumantes-champagnes,Espumantes & Champagnes,Veuve Clicquot Brut Yellow Label,veuve-clicquot-brut-yellow-label,O rótulo amarelo inconfundível que equilibra a potência do Pinot Noir com a vivacidade cítrica e o toque tostado do brioche.,Veuve Clicquot,22042100,0301200,1,WINE-026-750,750ml,54900,62000,48,1550,88,322,88,true,França,Champagne,"Pinot Noir, Chardonnay, Pinot Meunier",NV,12.0%,750ml,Espumante
sku,wine-fr-027,wine-fr-027-750ml,vinhos-brancos,Vinhos Brancos,Louis Jadot Chablis Premier Cru Fourchaume,louis-jadot-chablis-premier-cru-fourchaume,Puro Chardonnay de solos calcários Kimmeridgianos que exibem mineralidade cortante de pedra de isqueiro e grande amplitude.,Maison Louis Jadot,22042100,0301200,1,WINE-027-750,750ml,69000,78000,30,1350,80,310,80,true,França,Bourgogne - Chablis,Chardonnay,2022,13.0%,750ml,Branco
sku,wine-fr-028,wine-fr-028-375ml,vinhos-sobremesa-fortificados,Vinhos de Sobremesa & Fortificados,Château d'Yquem Premier Cru Supérieur Sauternes,chateau-dyquem-premier-cru-superieur-sauternes,"O mais supremo vinho doce botritizado do mundo, com complexidade infinita de damasco, mel de acácia, gengibre e açafrão.",Château d'Yquem,22042100,0301200,1,WINE-028-375,375ml,420000,480000,12,750,62,245,62,true,França,Bordeaux - Sauternes,"Sémillon, Sauvignon Blanc",2018,14.0%,375ml,Sobremesa
sku,wine-fr-029,wine-fr-029-750ml,vinhos-tintos,Vinhos Tintos,Château de Beaucastel Châteauneuf-du-Pape,chateau-de-beaucastel-chateauneuf-du-pape,Monumento do Vale do Ródano elaborado a partir das 13 castas históricas da denominação sobre o solo de galets roulés.,Famille Perrin,22042100,0301200,1,WINE-029-750,750ml,115000,130000,20,1420,82,318,82,true,França,Vallée du Rhône,"Mourvèdre, Grenache, Syrah",2019,14.5%,750ml,Tinto
sku,wine-fr-030,wine-fr-030-750ml,vinhos-brancos,Vinhos Brancos,Baron de L Pouilly-Fumé,baron-de-l-pouilly-fume,"Considerado por especialistas como a maior expressão do Sauvignon Blanc no planeta, elaborado nas melhores encostas do Loire.",De Ladoucette,22042100,0301200,1,WINE-030-750,750ml,125000,145000,18,1360,80,315,80,true,França,Vallée de la Loire,Sauvignon Blanc,2020,13.0%,750ml,Branco
sku,wine-fr-031,wine-fr-031-750ml,vinhos-roses,Vinhos Rosés,Château d'Esclans Whispering Angel Rosé,chateau-desclans-whispering-angel-rose,"O rosé mais famoso e cobiçado de Provence, com coloração pálida, perfil aromático refinado e frescor encantador.",Château d'Esclans,22042100,0301200,1,WINE-031-750,750ml,29000,33000,40,1340,80,315,80,true,França,Provence,"Grenache, Cinsault, Rolle",2022,13.0%,750ml,Rosé
sku,wine-fr-032,wine-fr-032-750ml,vinhos-brancos,Vinhos Brancos,Louis Latour Corton-Charlemagne Grand Cru,louis-latour-corton-charlemagne-grand-cru,"Grand Cru reverenciado da colina de Corton com toques minerais nobres, avelãs tostadas e estrutura cremosa majestosa.",Maison Louis Latour,22042100,0301200,1,WINE-032-750,750ml,265000,310000,12,1380,80,312,80,true,França,Bourgogne - Côte de Beaune,Chardonnay,2020,13.5%,750ml,Branco
sku,wine-it-033,wine-it-033-750ml,vinhos-tintos,Vinhos Tintos,Sassicaia Tenuta San Guido,sassicaia-tenuta-san-guido,"O criador do mito dos Supertoscanos em Bolgheri, reverenciado globalmente por sua aristocrática harmonia e potência.",Tenuta San Guido,22042100,0301200,1,WINE-033-750,750ml,380000,430000,12,1450,82,320,82,true,Itália,Toscana - Bolgheri,"Cabernet Sauvignon, Cabernet Franc",2019,14.0%,750ml,Tinto
sku,wine-it-034,wine-it-034-750ml,vinhos-tintos,Vinhos Tintos,Tignanello Marchesi Antinori,tignanello-marchesi-antinori,Primeiro Sangiovese envelhecido em barricas pequenas e combinado com castas bordalesas na célebre colina de Tignanello.,Marchesi Antinori,22042100,0301200,1,WINE-034-750,750ml,175000,199000,24,1440,82,320,82,true,Itália,Toscana,"Sangiovese, Cabernet Sauvignon, Cabernet Franc",2020,14.0%,750ml,Tinto
sku,wine-it-035,wine-it-035-750ml,vinhos-tintos,Vinhos Tintos,Ornellaia Bolgheri Superiore,ornellaia-bolgheri-superiore,"Esculpido na costa toscana de Bolgheri, um blend suntuoso que une a opulência do Mediterrâneo à precisão artesanal.",Ornellaia,22042100,0301200,1,WINE-035-750,750ml,320000,365000,14,1460,82,320,82,true,Itália,Toscana - Bolgheri,"Cabernet Sauvignon, Merlot, Cabernet Franc",2019,14.5%,750ml,Tinto
sku,wine-it-036,wine-it-036-750ml,vinhos-tintos,Vinhos Tintos,Biondi-Santi Brunello di Montalcino,biondi-santi-brunello-di-montalcino,"O berço do Brunello di Montalcino na Tenuta Greppo, concebido para evoluir elegantemente ao longo de meio século.",Biondi-Santi Tenuta Greppo,22042100,0301200,1,WINE-036-750,750ml,245000,280000,16,1430,82,318,82,true,Itália,Toscana - Montalcino,Sangiovese Grosso,2016,13.5%,750ml,Tinto
sku,wine-it-037,wine-it-037-750ml,vinhos-tintos,Vinhos Tintos,Barolo Fontanafredda Serralunga d'Alba,barolo-fontanafredda-serralunga-dalba,"O rei dos vinhos e o vinho dos reis nascido na propriedade histórica do primeiro Rei da Itália, Victor Emmanuel II.",Fontanafredda,22042100,0301200,1,WINE-037-750,750ml,59000,68000,30,1390,80,315,80,true,Itália,Piemonte - Langhe,Nebbiolo,2018,14.0%,750ml,Tinto
sku,wine-it-038,wine-it-038-750ml,vinhos-tintos,Vinhos Tintos,Tommasi Amarone della Valpolicella Classico,tommasi-amarone-della-valpolicella-classico,"Produzido com uvas desidratadas pelo método appassimento durante 100 dias, resultando em corpo aveludado e notas de cereja madura.",Tommasi Viticoltori,22042100,0301200,1,WINE-038-750,750ml,78000,89000,24,1450,82,320,82,true,Itália,Veneto - Valpolicella,"Corvina, Rondinella, Molinara",2017,15.0%,750ml,Tinto
sku,wine-it-039,wine-it-039-750ml,vinhos-tintos,Vinhos Tintos,Gaja Barbaresco,gaja-barbaresco,"O vinho que revolucionou o Piemonte pela visão pioneira de Angelo Gaja, combinando poder tânico com elegância sedutora.",Gaja,22042100,0301200,1,WINE-039-750,750ml,360000,410000,12,1440,82,320,82,true,Itália,Piemonte - Barbaresco,Nebbiolo,2019,14.0%,750ml,Tinto
sku,wine-it-040,wine-it-040-750ml,vinhos-tintos,Vinhos Tintos,Santa Cristina Chianti Superiore,santa-cristina-chianti-superiore,"Clássico toscano acessível e gastronômico, com notas de violeta, frutas vermelhas frescas e acidez vibrante.",Santa Cristina,22042100,0301200,1,WINE-040-750,750ml,13900,16500,60,1350,80,315,80,true,Itália,Toscana,"Sangiovese, Merlot",2021,13.0%,750ml,Tinto
sku,wine-pt-041,wine-pt-041-750ml,vinhos-tintos,Vinhos Tintos,Barca Velha Casa Ferreirinha,barca-velha-casa-ferreirinha,"O vinho mais mítico de Portugal, lançado exclusivamente em safras lendárias após uma década de repouso em adega.",Casa Ferreirinha,22042100,0301200,1,WINE-041-750,750ml,750000,850000,8,1460,82,320,82,true,Portugal,Douro,"Touriga Franca, Touriga Nacional, Tinta Roriz",2011,14.5%,750ml,Tinto
sku,wine-pt-042,wine-pt-042-750ml,vinhos-tintos,Vinhos Tintos,Quinta do Crasto Reserva Vinhas Velhas,quinta-do-crasto-reserva-vinhas-velhas,Field blend com mais de 30 variedades autóctones de vinhedos centenários encravados nos socalcos xistosos do Douro.,Quinta do Crasto,22042100,0301200,1,WINE-042-750,750ml,58000,66000,36,1380,80,315,80,true,Portugal,Douro,Vinhas Velhas - Field Blend,2019,14.5%,750ml,Tinto
sku,wine-pt-043,wine-pt-043-750ml,vinhos-sobremesa-fortificados,Vinhos de Sobremesa & Fortificados,Taylor's Vintage Port 2017,taylors-vintage-port-2017,"Safra declarada histórica de Vinho do Porto, aclamada universalmente com 100 pontos pela crítica internacional.",The Fladgate Partnership,22042100,0301200,1,WINE-043-750,750ml,155000,180000,20,1480,82,315,82,true,Portugal,Douro - Porto,"Touriga Nacional, Touriga Franca",2017,20.0%,750ml,Sobremesa
sku,wine-pt-044,wine-pt-044-750ml,vinhos-tintos,Vinhos Tintos,Cartuxa Pêra-Manca Tinto,cartuxa-pera-manca-tinto,"Ícone sagrado do Alentejo com séculos de prestígio, estagiando 18 meses em balseiros de carvalho francês e 36 meses em garrafa.",Fundação Eugénio de Almeida,22042100,0301200,1,WINE-044-750,750ml,420000,490000,10,1480,82,322,82,true,Portugal,Alentejo - Évora,"Trincadeira, Aragonez",2015,14.5%,750ml,Tinto
sku,wine-pt-045,wine-pt-045-750ml,vinhos-tintos,Vinhos Tintos,Esporão Reserva Tinto,esporao-reserva-tinto,"O pioneiro de Reguengos de Monsaraz que consagrou a cultura do vinho alentejano moderno, ilustrado anualmente por artistas plásticos.",Herdade do Esporão,22042100,0301200,1,WINE-045-750,750ml,23900,27500,50,1360,80,315,80,true,Portugal,Alentejo - Reguengos,"Aragonez, Trincadeira, Alicante Bouschet",2020,14.5%,750ml,Tinto
sku,wine-pt-046,wine-pt-046-750ml,vinhos-sobremesa-fortificados,Vinhos de Sobremesa & Fortificados,Quinta do Noval Nacional Vintage Port,quinta-do-noval-nacional-vintage-port,Produzido a partir de um pequeno lote de videiras em pé-franco não enxertadas que sobreviveram milagrosamente à filoxera.,Quinta do Noval,22042100,0301200,1,WINE-046-750,750ml,890000,990000,4,1500,84,320,84,true,Portugal,Douro - Porto,"Touriga Nacional, Tinta Roriz",2016,19.5%,750ml,Sobremesa
sku,wine-es-047,wine-es-047-750ml,vinhos-tintos,Vinhos Tintos,Vega Sicilia Único,vega-sicilia-unico,"O patriarca dos grandes vinhos espanhóis, amadurecido por quase 10 anos entre barricas e garrafa antes de ser colocado no mercado.",Tempos Vega Sicilia,22042100,0301200,1,WINE-047-750,750ml,590000,680000,10,1460,82,320,82,true,Espanha,Ribera del Duero,"Tempranillo, Cabernet Sauvignon",2012,14.0%,750ml,Tinto
sku,wine-es-048,wine-es-048-750ml,vinhos-tintos,Vinhos Tintos,Marqués de Riscal Reserva,marques-de-riscal-reserva,"Clássico atemporal da Rioja protegido pela famosa malha de arame dourado, com 24 meses em barricas de carvalho americano.",Herederos del Marqués de Riscal,22042100,0301200,1,WINE-048-750,750ml,25900,29900,48,1360,80,315,80,true,Espanha,Rioja,"Tempranillo, Graciano",2018,14.0%,750ml,Tinto
sku,wine-es-049,wine-es-049-750ml,vinhos-tintos,Vinhos Tintos,Tinto Pesquera Crianza,tinto-pesquera-crianza,"O vinho que colocou Ribera del Duero no mapa pelas mãos do mestre Alejandro Fernández, apelidado de Petrus da Espanha por Robert Parker.",Familia Fernández Rivera,22042100,0301200,1,WINE-049-750,750ml,36000,41000,36,1380,80,315,80,true,Espanha,Ribera del Duero,Tempranillo,2019,14.5%,750ml,Tinto
sku,wine-es-050,wine-es-050-750ml,vinhos-tintos,Vinhos Tintos,Dominio de Pingus Pingus,dominio-de-pingus-pingus,O vinho cult supremo de Peter Sisseck produzido com parcelas microscópicas de vinhas muito velhas de cultivo biodinâmico rigoroso.,Dominio de Pingus,22042100,0301200,1,WINE-050-750,750ml,980000,1150000,4,1480,82,320,82,true,Espanha,Ribera del Duero,Tempranillo,2019,14.5%,750ml,Tinto
